timestamp,cpu,ram,disk
2026-08-09 11:14:25.146223,8.7,62.5,1.3
2026-08-09 11:14:31.149017,6.8,62.5,1.3
2026-08-09 11:14:37.152038,3.4,62.4,1.3
2026-08-09 11:14:43.155937,9.8,61.7,1.3
2026-08-09 11:14:49.159721,6.6,61.7,1.3
2026-08-09 11:14:55.163397,12.8,61.7,1.3
2026-08-09 11:15:01.166689,7.9,61.8,1.3
2026-08-09 11:15:07.170622,15.3,61.4,1.3
2026-08-09 11:15:13.174862,3.5,61.4,1.3
2026-08-09 11:15:19.179233,1.4,61.4,1.3
2026-08-09 11:15:25.183291,2.8,61.3,1.3
2026-08-09 11:15:31.186506,5.3,61.3,1.3
2026-08-09 11:15:37.189436,5.8,61.1,1.3
2026-08-09 11:15:43.193542,1.7,61.1,1.3
2026-08-09 11:15:49.196613,6.9,61.1,1.3
2026-08-09 11:15:55.199282,7.6,61.1,1.3
2026-08-09 11:16:01.202260,11.1,61.2,1.3
2026-08-09 11:16:07.206625,5.8,61.2,1.3
2026-08-09 11:16:13.210433,3.3,61.0,1.3
2026-08-09 11:16:19.214185,8.0,61.1,1.3
2026-08-09 11:16:25.217453,3.0,61.0,1.3
2026-08-09 11:16:31.221569,1.8,61.0,1.3
2026-08-09 11:16:37.225820,0.8,61.0,1.3
2026-08-09 11:16:43.229198,1.1,61.0,1.3
2026-08-09 11:16:49.232131,2.7,60.9,1.3
2026-08-09 11:16:55.235689,1.3,60.9,1.3
2026-08-09 11:17:01.238606,5.4,60.9,1.3
2026-08-09 11:17:07.241705,1.5,60.2,1.3
2026-08-09 11:17:13.245616,1.5,60.2,1.3
2026-08-09 11:17:19.249017,3.0,60.3,1.3
2026-08-09 11:17:25.253743,1.6,60.2,1.3
2026-08-09 11:17:31.257265,1.4,60.1,1.3
2026-08-09 11:17:37.261062,1.5,60.1,1.3
2026-08-09 11:17:43.264515,9.9,60.1,1.3
2026-08-09 11:17:49.267806,6.4,60.3,1.3
2026-08-09 11:17:55.271634,3.5,60.3,1.3
2026-08-09 11:18:01.275223,4.6,60.3,1.3
2026-08-09 11:18:07.279117,2.2,60.3,1.3
2026-08-09 11:18:13.282800,1.5,60.5,1.3
2026-08-09 11:18:19.286635,1.5,59.5,1.3
2026-08-09 11:18:25.290157,1.5,59.6,1.3
2026-08-09 11:18:31.294253,3.2,59.5,1.3
2026-08-09 11:18:37.297134,6.5,59.5,1.3
2026-08-09 11:18:43.300508,1.5,59.9,1.3
2026-08-09 11:18:49.305117,1.3,59.5,1.3
2026-08-09 11:18:55.309091,0.6,59.4,1.3
